Year,Variables,January,February,March,April,May,June,July,August,September,October,November,December
2022,Total Banking System Liabilities,65731.09,65460.47,67318.47,68362.48,68909.37,68402.24,71413.78,73665.72,73821.71,74641.05,75899.85,76380.39
2022,Foreign Currency Deposits,14038.63,14330.69,14333.8,14396.54,14666.11,15012.17,16421.73,16834.95,17088.52,16333.2,16123.36,16125.56
2022,Savings and Time Deposits,22332.6,22568.25,22488.06,22387.1,22186.46,22255.31,22648.95,23447.76,23665.83,25096.41,25489.44,25609.22
2022,Demand Deposits,19297.9,18758.08,20459.9,21481.56,22282.35,21419.14,22799.97,23707.02,23319.6,22838.52,23110.4,22704.7
2022,Currency Outside Banks,9955.22,9734.67,9929.98,9990.53,9774.44,9715.62,9543.12,9675.99,9747.76,10372.92,11176.65,11940.91
2022,Total Banking System Assets,65731.09,65460.47,67318.47,68362.48,68909.37,68402.24,71413.78,73665.72,73821.71,74641.05,75899.85,76380.39
2022,Other Domestic Assets (Net),-11124.09,-7171.03,-4191.45,-5275.59,-5089.6,-4804.07,-5241.82,-4079.78,-4630.4,-5453.68,-4671.25,-4661.88
2022,Claims on Private and Public Enterprises,46057.92,43886.95,44777.55,45559.06,48135.52,48920.53,42616.2,36699.8,37593.13,38435.52,38598.13,39454.03
2022,Government Deposits,8620.31,10349.19,10859.1,8494.32,11941.1,11904.84,9950.14,11911.83,13127.95,11487.41,11009.74,10619.64
2022,Claims on Government,25923.72,26193.57,26740.14,26496.84,26440.9,26739.03,26297.58,34823.85,36911.37,37563.53,38111.05,38171.15
2022,Total Net Domestic Assets,46243.65,46432.11,50417.95,52070.99,49761.98,51580.06,53721.84,55532.04,56746.16,59057.96,61028.2,62343.66
2022,Net Foreign Assets - Deposit Money Banks,3510.61,4335.61,2258.05,1774.77,1107.91,625.67,2453.03,2852.25,1823.97,2171.63,1497.73,1273.96
2022,Net Foreign Assets - Bank of Ghana,15976.83,14692.76,14642.48,14516.72,18039.48,16196.52,15238.91,15281.43,15251.58,13411.46,13373.93,12762.76
2022,Total Net Foreign Assets,19487.44,19028.37,16900.52,16291.49,19147.39,16822.19,17691.94,18133.68,17075.55,15583.09,14871.65,14036.73
2022,Total Liquidity (M2+),58436.43,58346.76,58139.8,58195.16,58400.17,59903.79,61134.32,59845.3,59491.1,63669.19,63696.51,66063.4
2023,Narrow Money (M1),26898.6,25802.21,25706.34,26092.74,25525.21,25643.7,26847.01,26152.07,25503.31,29126.27,28652.13,29792.56
2023,Broad Money (M2),44588.59,43686.92,44049.21,44893.33,44595.27,45793.23,46909.15,45619.31,45282.59,49195.4,49388.18,52007.03
2023,Reserve Money (RM),17509.3,16447.43,17519.82,17796.29,16566.13,17784.87,18869.45,17393.97,17321.66,19067.83,20062.66,21471.52
2023,Total Banking System Liabilities,58436.43,58346.76,58139.8,58195.16,58400.17,59903.81,61134.32,59845.3,59491.1,63669.19,63696.51,66170.14
2023,Foreign Currency Deposits,13847.84,14659.85,14090.59,13301.82,13804.9,14110.56,14225.17,14225.98,14208.51,14473.8,14308.33,14056.37
2023,Savings and Time Deposits,17689.99,17884.7,18342.87,18800.59,19070.05,20149.53,20062.14,19467.24,19779.27,20069.13,20736.04,22214.47
2023,Demand Deposits,17482.04,16750.8,16444.85,16979.71,16626.43,16836.69,18301.47,17427.34,16915.55,19936.71,18782.65,19119
2023,Currency Outside Banks,9416.56,9051.42,9261.5,9113.03,8898.78,8807.01,8545.54,8724.73,8587.76,9189.56,9869.49,10673.55
2023,Total Banking System Assets,58436.43,58346.76,58139.8,58195.16,58400.17,59903.81,61134.32,59845.3,59491.1,63669.19,63696.51,66170.14
2023,Other Domestic Assets (Net),-6478.18,-9524.2,-8054.43,-7532.31,-7998.36,-8204.49,-10103.8,-7012.22,-6789.63,-7348.01,-7734.89,-6941.53
2023,Claims on Private and Public Enterprises,40100.97,40854.7,41147.93,40982.89,41476.37,42620.15,42996.74,42697.26,43758.7,43831.99,42840.64,45704.53
2023,Government Deposits,7704.25,7141.62,7646.66,15426.18,14672.12,12636.09,10836.38,9905.25,10875.79,8729.19,8433.02,11016.67
2023,Claims on Government,22313.71,23283.77,23428.03,23635.67,24016.22,23730.66,24895.03,22589.97,22645.59,22763.64,23770.12,23632.56
2023,Total Net Domestic Assets,43396.2,42594.31,43728.56,36652.41,37847.66,40486.29,41653.63,41462.93,41373.43,45051.37,44705.19,45999.08
2023,Net Foreign Assets - Deposit Money Banks,3955.07,4070.23,3872.81,2823.34,2112.77,1777.3,2717.19,2847.03,4040.18,4210.14,2532.37,3438.28
2023,Net Foreign Assets - Bank of Ghana,11085.16,11682.22,10538.43,18719.41,18439.74,17640.21,16763.5,15535.34,14077.48,14407.68,16458.95,16900.5
2023,Total Net Foreign Assets,15040.23,15752.45,14411.24,21542.75,20552.51,19417.52,19480.69,18382.36,18117.66,18617.82,18991.32,20338.78
