Transactional Type,Education Level,Region, Age (6-11),Age(12-15),Age(15-19),Age(20-24),Age(25-29),Age(30-34),Age(35-39),Age(40-44),Age(45-49),Age(50-54),Age(55-59),Age(60-64),Age(65-69),Age(70-74),Age(75-79),Age(80-84),Age(85-89)
Did not use mobile phone,Postgraduate Certificate/Diploma,Greater Accra,0,0,0,518,635,499,363,233,141,128,137,208,171,171,128,79,51
Did not use mobile phone,Postgraduate Certificate/Diploma,Volta,0,0,0,139,155,122,82,49,19,29,33,55,49,44,40,32,14
Did not use mobile phone,Postgraduate Certificate/Diploma,Eastern,0,0,0,182,259,170,94,57,39,23,71,88,47,54,34,30,18
Did not use mobile phone,Postgraduate Certificate/Diploma,Ashanti,0,0,0,732,691,404,213,99,79,58,100,133,103,79,54,51,18
Did not use mobile phone,Postgraduate Certificate/Diploma,Western North,0,0,0,159,132,102,34,21,12,14,17,16,16,5,3,3,2
Did not use mobile phone,Postgraduate Certificate/Diploma,Ahafo,0,0,0,84,80,74,20,9,8,4,24,17,5,4,5,1,3
Did not use mobile phone,Postgraduate Certificate/Diploma,Bono,0,0,0,224,200,120,69,40,16,22,22,38,24,20,13,5,2
Did not use mobile phone,Postgraduate Certificate/Diploma,Bono East,0,0,0,201,154,97,58,23,12,11,19,27,19,9,7,0,1
Did not use mobile phone,Postgraduate Certificate/Diploma,Oti,0,0,0,63,68,49,21,18,14,7,13,22,4,7,3,3,2
Did not use mobile phone,Postgraduate Certificate/Diploma,Northern,0,0,0,467,542,280,141,49,42,37,25,50,33,12,3,1,0
Did not use mobile phone,Postgraduate Certificate/Diploma,Savannah,0,0,0,132,134,85,26,21,12,7,19,13,10,7,2,0,0
Did not use mobile phone,Postgraduate Certificate/Diploma,North East,0,0,0,229,261,127,63,11,15,7,7,14,1,0,2,0,0
Did not use mobile phone,Postgraduate Certificate/Diploma,Upper East,0,0,0,230,282,161,78,40,14,5,20,33,26,4,3,3,1
Did not use mobile phone,Postgraduate Certificate/Diploma,Upper West,0,0,0,185,239,135,61,14,12,8,16,18,28,20,9,3,3
Did not use mobile phone,Master’s Degree,Western,0,0,0,20,43,83,85,62,46,31,29,23,13,11,8,3,2
Did not use mobile phone,Master’s Degree,Central,0,0,0,27,57,74,79,63,58,46,35,37,27,36,15,12,10
Did not use mobile phone,Master’s Degree,Greater Accra,0,0,0,194,632,808,853,714,555,447,376,359,252,192,127,112,64
Did not use mobile phone,Master’s Degree,Volta,0,0,0,13,22,26,39,35,28,21,14,20,20,15,16,11,8
Did not use mobile phone,Master’s Degree,Eastern,0,0,0,15,41,49,74,59,72,35,32,33,37,18,15,7,7
Did not use mobile phone,Master’s Degree,Ashanti,0,0,0,102,142,196,211,178,132,103,76,71,52,63,26,20,10
Did not use mobile phone,Master’s Degree,Western North,0,0,0,11,16,16,7,11,7,5,2,5,7,1,1,0,0
Did not use mobile phone,Master’s Degree,Ahafo,0,0,0,5,8,9,9,14,8,6,1,3,3,0,0,0,0
Did not use mobile phone,Master’s Degree,Bono,0,0,0,22,24,45,50,30,22,24,11,24,12,10,2,2,0
Did not use mobile phone,Master’s Degree,Bono East,0,0,0,7,11,17,21,24,13,6,12,5,5,3,4,3,0
Did not use mobile phone,Master’s Degree,Oti,0,0,0,3,4,7,8,9,8,0,5,7,7,3,0,1,1
Did not use mobile phone,Master’s Degree,Northern,0,0,0,17,40,46,41,59,40,18,17,24,8,4,4,4,0
Did not use mobile phone,Master’s Degree,Savannah,0,0,0,2,14,14,11,2,6,5,7,2,4,1,0,0,0
Did not use mobile phone,Master’s Degree,North East,0,0,0,12,9,12,7,4,3,4,2,5,1,0,1,0,0
Did not use mobile phone,Master’s Degree,Upper East,0,0,0,6,11,36,50,13,23,10,4,8,9,6,1,3,1
Did not use mobile phone,Master’s Degree,Upper West,0,0,0,2,15,19,24,15,12,9,12,10,7,5,3,1,2
Did not use mobile phone,Doctorate (PhD),Western,0,0,0,16,18,15,14,8,9,12,8,6,4,1,1,1,0
Did not use mobile phone,Doctorate (PhD),Central,0,0,0,2,12,17,16,23,17,23,13,17,15,12,9,8,3
Did not use mobile phone,Doctorate (PhD),Greater Accra,0,0,0,30,58,106,97,88,85,91,92,107,89,68,51,52,35
Did not use mobile phone,Doctorate (PhD),Volta,0,0,0,1,6,4,14,7,7,9,9,3,5,3,2,2,0
Did not use mobile phone,Doctorate (PhD),Eastern,0,0,0,4,14,19,8,13,12,16,16,13,8,7,6,4,1
Did not use mobile phone,Doctorate (PhD),Ashanti,0,0,0,11,20,41,35,40,33,36,38,24,24,22,8,15,11
Did not use mobile phone,Doctorate (PhD),Western North,0,0,0,1,4,4,1,1,2,1,0,6,1,1,0,0,0
Did not use mobile phone,Doctorate (PhD),Ahafo,0,0,0,1,6,5,2,0,1,1,1,0,1,0,0,0,1
Did not use mobile phone,Doctorate (PhD),Bono,0,0,0,3,9,7,8,10,9,8,3,6,3,0,1,0,0
Did not use mobile phone,Doctorate (PhD),Bono East,0,0,0,2,4,3,1,2,5,3,2,3,1,2,0,0,0
Did not use mobile phone,Doctorate (PhD),Oti,0,0,0,2,4,4,1,2,2,2,2,5,0,1,1,1,1
Did not use mobile phone,Doctorate (PhD),Northern,0,0,0,7,18,9,11,3,15,4,1,2,4,2,3,0,0
Did not use mobile phone,Doctorate (PhD),Savannah,0,0,0,3,2,2,2,3,1,0,4,0,0,0,0,0,0
Did not use mobile phone,Doctorate (PhD),North East,0,0,0,6,3,0,3,1,0,2,3,0,0,0,1,0,0
Did not use mobile phone,Doctorate (PhD),Upper East,0,0,0,4,5,8,8,7,7,8,3,0,1,0,0,0,0
Did not use mobile phone,Doctorate (PhD),Upper West,0,0,0,3,2,5,7,1,1,4,4,2,1,3,1,2,1
